Date : 2024-10-24 11:52:48
Directory : d:\Naufal\Nanady\presentation\Lomba-USB-Frontend
Total : 93 files,  12768 codes, 1102 comments, 1150 blanks, all 15020 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Conflict.jsx                               | JavaScript JSX |         11 |          0 |          3 |         14 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Diary.jsx                                  | JavaScript JSX |        191 |          0 |         31 |        222 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\DiaryDetail.jsx                            | JavaScript JSX |          8 |          0 |          7 |         15 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Interaction.jsx                            | JavaScript JSX |        122 |          0 |         24 |        146 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Mini.jsx                                   | JavaScript JSX |        159 |          5 |         18 |        182 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\MiniDetail.jsx                             | JavaScript JSX |        117 |          3 |         15 |        135 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Navbar.jsx                                 | JavaScript JSX |         30 |          2 |         10 |         42 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\News.jsx                                   | JavaScript JSX |         69 |          2 |         13 |         84 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\ProfileCard.jsx                            | JavaScript JSX |        141 |        123 |         38 |        302 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Reminder.jsx                               | JavaScript JSX |        124 |         13 |         19 |        156 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\ReminderNotification.jsx                   | JavaScript JSX |         79 |         12 |         16 |        107 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Statistic.jsx                              | JavaScript JSX |         21 |          0 |          5 |         26 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\TimeStatisticChart.jsx                     | JavaScript JSX |         98 |          7 |         14 |        119 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\Yapping.jsx                                | JavaScript JSX |        199 |         12 |         23 |        234 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\YappingDetail.jsx                          | JavaScript JSX |        132 |          6 |         16 |        154 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\YappingOther.jsx                           | JavaScript JSX |        209 |         12 |         26 |        247 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Analytic.css                        | CSS            |          5 |          0 |          0 |          5 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Diary.css                           | CSS            |         17 |          4 |          6 |         27 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Interaction.css                     | CSS            |         16 |          0 |          4 |         20 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Mini.css                            | CSS            |         30 |          0 |          6 |         36 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\MiniDetail.css                      | CSS            |         39 |          4 |         14 |         57 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Navbar.css                          | CSS            |         38 |          0 |         11 |         49 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\ProfileCard.css                     | CSS            |        129 |          3 |         29 |        161 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Reminder.css                        | CSS            |          4 |          0 |          0 |          4 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\Yapping.css                         | CSS            |         36 |          0 |         10 |         46 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\styles\YappingDetail.css                   | CSS            |         39 |          4 |         14 |         57 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\CreatePostLayout.jsx                  | JavaScript JSX |         41 |         16 |          8 |         65 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\EditProfile.jsx                       | JavaScript JSX |         42 |          0 |         11 |         53 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\MyMini.jsx                            | JavaScript JSX |        133 |          5 |         18 |        156 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\UserDiary.jsx                         | JavaScript JSX |        160 |          0 |         23 |        183 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\UserYapping.jsx                       | JavaScript JSX |        210 |        161 |         50 |        421 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\Comment.jsx                | JavaScript JSX |        131 |          9 |         18 |        158 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\DiaryForm.jsx              | JavaScript JSX |         50 |          7 |         12 |         69 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\EditProfile.jsx            | JavaScript JSX |        218 |          3 |         41 |        262 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\MiniForm.jsx               | JavaScript JSX |         59 |          6 |         12 |         77 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\ReminderForm.jsx           | JavaScript JSX |        141 |          2 |         25 |        168 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\Toast.jsx                  | JavaScript JSX |         21 |          1 |          5 |         27 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\UploadProfileForm..jsx     | JavaScript JSX |        100 |          4 |         16 |        120 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\YappingForm.jsx            | JavaScript JSX |        257 |        454 |        107 |        818 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\atom\LoadingPopUpPhoto.jsx | JavaScript JSX |         32 |          3 |         10 |         45 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\atom\LoadingPopup.jsx      | JavaScript JSX |         32 |          3 |         10 |         45 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\styles\Comment.css         | CSS            |         96 |          4 |         20 |        120 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\styles\EditProfile.css     | CSS            |         48 |          3 |         12 |         63 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\components\styles\YappingForm.css     | CSS            |         18 |          0 |          3 |         21 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\Background.css                 | CSS            |         72 |          2 |          8 |         82 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\Background.jsx                 | JavaScript JSX |         13 |          0 |          4 |         17 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\CreatePost.css                 | CSS            |         26 |          0 |          6 |         32 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\MyMini.css                     | CSS            |         30 |          0 |          6 |         36 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\UserDiary.css                  | CSS            |         17 |          0 |          4 |         21 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\components\user\styles\UserYapping.css                | CSS            |         36 |          0 |         10 |         46 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\hooks\useTheme.jsx                                    | JavaScript JSX |          5 |          1 |          2 |          8 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\hooks\useUsageTracker.jsx                             | JavaScript JSX |         40 |          4 |         14 |         58 |
